CCL5,TGFBI,NUP214,EPS8,IGF1R,PRAME,APOC4-APOC2,FPR1,HOXB6,FAM50B,WT1,GP1BB,FLT3,CDKN2A,ASAH1,LCN2,COL4A5,HOXA1,TRBV21-1,AKTIP,LPAR6,DEPTOR,C3orf14,CXorf57,PCDH9,NUDT11,SH3BP4,target
10.4374,11.1443,8.85904,6.1174300000000015,4.53186,4.17871,6.25494,8.59719,4.70165,6.30879,3.1947,4.91437,9.72876,5.37945,9.51658,9.98844,2.8580400000000004,3.97713,4.39899,5.83169,10.5892,8.567689999999999,3.61767,4.0505900000000015,5.19365,4.5724,5.90997,1
7.06854210954323,7.08295193893913,8.06431758150007,4.9330736707090095,5.55747092270497,6.01913540108312,7.98386479451046,6.82149472877821,8.00372751351882,7.5043590068525186,6.6518008402992495,6.1938932813979015,9.66906247583821,6.79705424871428,9.050840605547851,7.328943192458332,7.27326055203592,5.51095132504085,5.36395923316585,6.22268040460751,6.13366698157003,7.63709957459983,4.682206967057152,4.2691951667963,5.56203217622362,7.01700381790003,5.71304186433447,1
85.0364392334841,13.527904676386001,1004.63227903937,64.983199768339,24.340128202972608,5.14899276802872,31.9618636070231,28.6142464192847,841.5213392000529,120.371639875897,536.0946034322229,0.0,17537.6671828375,2.92942527009498,5990.129655345339,1.56149293888304,2308.07531843548,68.72150794816861,0.397840823128497,234.829778369873,36.611162844354894,1234.36213182569,0.0759387675363318,3.38171152284417,50.5690343377534,1.19352246938549,9.32006947989812,1
6.07589,5.49314,8.15211,5.84026,5.1277300000000015,4.53923,5.74377,5.63954,4.61124,5.9021300000000005,3.49585,4.89812,11.432,6.14708,8.73808,5.99641,3.36287,4.89389,4.37936,5.30952,6.12435,7.74564,3.4611300000000003,4.06137,4.25904,4.23114,3.921980000000001,1
9.16417,5.3597800000000015,9.67698,6.43886,5.31182,4.41562,7.1025800000000014,7.35257,8.9257,6.42002,6.87493,6.15072,10.8907,7.05443,10.9212,5.16461,7.830030000000002,6.56797,4.29557,5.80145,4.96093,8.601510000000001,3.46006,3.70057,4.51671,4.12852,6.67615,1
7.70493,9.77013,7.6826,6.4707300000000005,8.79846,7.68577,6.16654,6.68565,4.0763300000000005,6.40719,7.25529,11.2713,4.90171,5.61296,9.00446,8.50283,8.519060000000001,4.18104,4.22411,4.80029,4.53592,5.72011,3.87867,4.29614,10.906,5.54051,7.84857,1
11.068,10.3253,9.33942,4.70105,7.4839600000000015,4.31417,5.66985,12.1236,4.3365800000000005,7.28786,3.96962,7.659489999999999,4.54835,5.9401199999999985,10.3383,9.18743,2.98283,5.42689,4.8597199999999985,7.71594,9.87113,5.70371,5.69855,5.481,6.25364,4.34587,4.70112,0
5.8282240872323605,6.52585630522347,8.671898536795059,5.0554409270136516,6.2198947806201605,6.249779652722371,8.44065126417178,6.88420932178614,6.9435699940412805,7.517351244561289,9.48927415090366,5.55477370273655,10.146770058742,7.00501280516089,8.22123779170133,6.6035068233093295,5.03287888341624,5.60273004647565,5.618031222772862,6.94265447683143,7.76236326808038,7.26874749078282,4.68545980574288,4.611251688141129,6.55399273817654,7.71065207779753,7.68743508082662,1
11.6911,9.88666,9.25527,4.49397,7.47885,4.68513,5.90608,12.2824,4.56644,6.7343600000000015,4.33045,6.62677,5.07146,5.73527,9.97118,8.47654,3.27631,4.84292,4.50862,6.90008,8.79054,4.53857,5.05985,4.65421,6.19981,4.56964,4.83445,0
5.69722421222232,6.02203629341893,8.49600382393548,4.3588820713632215,6.569144288770031,5.59182599059312,8.12363710327867,6.38120589337245,8.59194976757003,7.23400290442628,6.80941005180282,6.26619350778549,11.0863009941773,8.30130800638381,7.94963248521919,5.9258548242462,7.91217861512813,4.8394755445237685,5.74983127436717,6.40804513010133,5.7372448879492906,9.15804149544529,4.50688855596108,4.2822301464623305,5.40635967749005,6.81789425573047,7.478992839964699,1
11.8134,9.23493,8.91057,3.73937,6.9127399999999986,4.91814,6.6151399999999985,11.709,4.35082,6.70408,3.63103,8.185030000000001,5.52847,5.87324,9.19868,7.66135,3.34154,5.07754,4.80804,6.40573,7.25742,5.23327,4.53097,3.97104,5.94537,4.3810699999999985,4.75556,0
10.7308,7.99494,8.52643,7.413839999999999,8.30074,4.95804,6.21287,7.78126,4.34473,6.4457900000000015,8.1362,7.49153,10.0553,5.61441,10.2547,10.9557,3.21167,5.32485,4.4286,6.68478,9.04615,7.43916,3.76792,4.36204,5.40105,4.13773,6.863739999999999,1
