TSPAN7,LYN,JADE3,NPY,IRX5,ZNF423,TRAF3IP2,ABCC6,ADA,target
5.87675,7.26765,5.51936,9.71998,4.05752,5.60185,9.30969,4.04088,10.1722,1
7.9521,8.6943,6.9567,11.1972,4.1754,4.82683,9.11856,5.20696,10.7996,1
8.52734,9.44585,8.30961,10.3575,7.10391,9.97155,9.64895,3.95776,11.5103,1
3.66421,10.8422,6.98318,3.96014,3.89719,4.81741,7.67452,4.78471,9.01273,0
4.31753,10.917,4.44521,4.18652,3.59316,3.55069,6.94711,5.17401,8.69361,0
6.26072763932563,7.73706336740471,5.18302789607988,10.3156207481063,5.82729717394762,6.23569628039952,8.28514628636346,5.82844224059113,8.13404985314761,1
9.39409,8.74405,8.93433,6.85455,4.1715,8.3279,10.2912,4.44457,11.3884,1
6.28774691494069,6.79967404477748,5.70264832882919,11.5298433721133,4.97129832245163,6.62508485631385,9.78306766154678,6.70811557513034,9.2156533443845,1
5.5429,7.05181,6.72679,9.96985,5.48934,6.33663,8.69542,4.10501,10.6731,1
8.75016022062969,6.62629504793963,6.30256123986643,5.96372124337612,5.60570046475361,7.60701632688807,10.2852253851964,6.24497748756936,9.31270300842577,1
10.4653,5.91976,6.67833,5.08052,7.57076,4.53047,7.82814,4.00709,11.9048,1
9.58549,9.27812,8.23949,10.223,3.94432,7.94362,9.5099,4.1406,11.0143,1
9.55307,7.27029,7.94846,11.4577,5.20524,9.56824,10.1591,4.40966,11.6959,1
8.97872,9.13765,6.82037,12.1695,3.8631,7.60664,11.2741,3.7902,11.5855,1
3.9209,10.4181,4.56949,4.59962,3.96585,3.76101,7.66329,5.15375,8.58867,0
4.02153,7.11432,6.20326,6.28026,5.03694,8.05611,10.6704,4.51657,9.88622,1
8.78564,8.2591,5.93512,4.53448,7.86686,3.33767,8.40252,4.05587,11.4703,1
8.44027,9.65364,8.29224,10.1337,3.77086,9.71057,9.68409,4.28696,10.6214,1
9.04804,8.81393,6.77228,9.86677,4.74425,10.0327,9.68777,4.40983,11.4731,1
9.7658,7.4165,8.2973,11.5237,4.28848,9.21472,9.16014,4.24651,10.9192,1
6.0253,3.96305,4.89573,4.95386,5.15593,4.56823,6.71693,4.79373,9.45153,1
8.5963,7.86023,7.41393,5.06288,6.39529,6.59155,9.17195,4.15344,12.6076,1
4.6016,9.95718,3.93601,5.51898,4.44183,3.68748,7.72107,5.22241,8.13958,0
11.1469,4.95233,7.3388,4.34508,6.84124,10.0321,7.43907,3.6365,12.3613,1
6.30364,8.56572,5.85859,4.14258,3.96298,9.00906,10.1549,4.12476,9.46709,1
9.98401,4.58395,8.50015,4.68928,5.56232,3.74939,7.57331,4.43872,12.1659,1
4.14379,10.0578,6.79223,5.47883,4.24582,4.82958,7.11458,5.37242,11.3641,1
4.09545,10.7199,4.80969,4.75446,3.78936,3.66054,7.35112,5.16592,8.86642,0
4.26954,11.2195,4.97136,4.43395,3.74808,3.6945,7.1221,4.42134,9.47555,0
9.62605582313765,8.18861987598037,7.16815262805009,9.00350377352792,5.07632705493801,8.83717506499633,8.27184197332352,5.55495960009643,9.92167071303746,1
8.13854,10.0585,6.11612,4.46042,4.59069,9.30444,10.2173,4.16047,9.86116,1
4.38171,8.54924,6.47788,10.5019,5.15407,7.166,9.94272,4.32337,10.6299,1
8.49541,7.85121,6.2154,10.7008,4.02233,8.35189,9.57156,4.33703,10.9123,1
5.88909,5.58406,4.87427,9.63769,4.95552,7.97071,9.15458,3.96812,11.5842,1
9.04047,7.99374,7.98838,4.21335,7.42225,3.73975,8.54035,4.09414,12.3934,1
8.4538,8.46093,7.7645,11.7625,4.78854,7.60253,9.65486,3.98629,10.5746,1
4.3629,10.6069,4.21552,4.31779,3.98059,3.93818,7.89949,4.85854,9.05804,0
3.74299,11.2216,6.69632,4.00665,4.35465,4.59768,7.25574,3.6705,7.41933,0
7.9069,7.80746,6.18715,9.03534,4.33592,8.76433,9.62905,4.84636,9.55845,1
5.13679,9.81593,5.11846,4.5044,3.74873,4.00425,6.77919,5.0801,8.95277,0
10.6397,8.85167,9.85945,6.24071,4.7711,8.76949,9.37216,4.29255,12.0782,1
8.87218,5.18861,7.02311,4.6474,6.81928,7.47941,7.02311,4.5915,11.4736,1
4.2022,9.00802,6.232,7.31276,5.05165,8.90297,9.19019,4.30102,9.66478,1
6.23199199339149,7.97044108774747,5.83535536981422,6.10977109070694,5.38488560887196,5.13316514815723,8.21005945641456,6.02719401474991,8.79374923071288,0
3.29021543950425,5735.85213319848,87.4788717056897,0.0,0.0,0.0,482.061326435566,42.2222094115019,313.13197224355,0
7.3954,8.44673,6.71077,6.79487,4.65135,8.33951,8.84639,4.43227,10.7299,1
6.0653,8.60384,6.58056,4.41776,6.05297,3.83096,7.65481,4.20478,11.2731,1
9.81789,7.242,5.70455,4.73797,9.3634,8.98335,8.70868,4.41373,10.4531,1
9.96404,8.84709,4.53363,5.41935,5.55581,12.38,9.35923,4.38897,10.7991,1
4.24736,10.8891,4.78817,4.73865,3.8148,3.6404,7.5175,4.74947,7.71187,0
5.39326,10.649,4.49252,4.65652,4.29167,3.6181,6.77722,4.96563,8.30538,0
10.5951,7.65436,5.83029,9.25302,4.13884,9.745,10.2756,4.42315,10.5073,1
10.6868,8.76424,7.1364,4.74692,7.4756,9.52579,8.32311,4.1376,12.2037,1
7.99049,7.2486,6.62625,9.70798,4.70437,9.49504,10.0131,4.24807,9.38143,1
7.07540393864508,7.34090896784477,5.20362254066473,6.98173198343703,5.44530934988748,6.46274219241399,9.2011387056415,5.8405926233029,10.6170042878419,1
4.97557,9.69639,3.54124,4.53043,3.89219,3.79028,6.47041,4.85803,8.35566,0
9.28006,8.69384,5.58566,4.72114,5.18778,3.86613,9.43905,4.27535,11.7281,1
4.5616,10.575,5.06677,5.21247,3.91833,3.49434,7.22418,5.55211,8.70086,1
8.75811250752831,6.54548251760748,5.34232009128476,6.78651677896952,5.92039564657325,8.43105997923538,10.6583484536129,6.20010692724543,9.89258398596776,1
8.60668930606354,6.39634851174735,6.15944639440506,7.08817657912854,5.28891394269047,7.86698663985948,10.387878607404,5.92972299041256,9.57586447900459,1
4.43387,10.7644,4.22122,4.58135,3.94875,3.60844,7.38604,4.91842,9.03664,0
8.22503,6.61647,4.36999,5.40701,6.78269,3.64656,6.82217,4.97825,9.93318,1
8.06515,9.69883,6.75574,9.0627,5.27827,3.99129,7.96846,4.7042,9.9644,1
9.76345143069855,9.10377041746612,6.31463687494961,5.72514131280257,4.58434566161904,8.66213093792079,10.4447770424075,5.51968915603688,9.22152665872445,1
8.63171699522796,7.22943704520727,6.14805500622889,9.28406634387702,5.56548052110516,6.72720376599379,10.0499639372927,6.03221829890456,9.96222911128573,1
3.99205,7.65228,7.22446,5.9245,4.07179,8.72882,10.5578,3.83895,12.035,1
6.16659,6.73216,7.45659,9.49278,5.59972,8.40585,8.50861,4.37292,9.50602,1
6.03312,6.94731,6.313,7.79763,4.77906,4.75745,7.63857,4.72049,7.05651,1
9.42223,8.81767,6.56975,7.62351,4.2308,9.50958,10.2283,4.2319,10.521,1
